GO_id_or_uniprot_term	Description	OurLocalization	UniquePriorityNumber	SpatialRelation
GO:0031298	replication fork protection complex	Unknown	0	IN Extracellular
GO:0031300	intrinsic component of organelle membrane	Unknown	0	IN Extracellular
GO:0031301	integral component of organelle membrane	Unknown	0	IN Extracellular
GO:0031302	intrinsic component of endosome membrane	Unknown	0	IN Extracellular
GO:0031303	integral component of endosome membrane	Unknown	0	IN Extracellular
GO:0031308	intrinsic component of nuclear outer membrane	Unknown	0	IN Extracellular
GO:0031309	integral component of nuclear outer membrane	Unknown	0	IN Extracellular
GO:0031310	intrinsic component of vacuolar membrane	Unknown	0	IN Extracellular
GO:0031311	intrinsic component of contractile vacuolar membrane	Unknown	0	IN Extracellular
GO:0031312	extrinsic component of organelle membrane	Unknown	0	IN Extracellular
GO:0031313	extrinsic component of endosome membrane	Unknown	0	IN Extracellular
GO:0031315	extrinsic component of mitochondrial outer membrane	Unknown	0	IN Extracellular
GO:0031316	extrinsic component of nuclear outer membrane	Unknown	0	IN Extracellular
GO:0031317	tripartite ATP-independent periplasmic transporter complex	Unknown	0	IN Extracellular
GO:0031332	RNAi effector complex	Unknown	0	IN Extracellular
GO:0031350	intrinsic component of plastid membrane	Unknown	0	IN Extracellular
GO:0031351	integral component of plastid membrane	Unknown	0	IN Extracellular
GO:0031352	intrinsic component of plastid inner membrane	Unknown	0	IN Extracellular
GO:0031353	integral component of plastid inner membrane	Unknown	0	IN Extracellular
GO:0031354	intrinsic component of plastid outer membrane	Unknown	0	IN Extracellular
GO:0031355	integral component of plastid outer membrane	Unknown	0	IN Extracellular
GO:0031356	intrinsic component of chloroplast inner membrane	Unknown	0	IN Extracellular
GO:0031357	integral component of chloroplast inner membrane	Unknown	0	IN Extracellular
GO:0031358	intrinsic component of chloroplast outer membrane	Unknown	0	IN Extracellular
GO:0031359	integral component of chloroplast outer membrane	Unknown	0	IN Extracellular
GO:0031360	intrinsic component of thylakoid membrane	Unknown	0	IN Extracellular
GO:0031361	integral component of thylakoid membrane	Unknown	0	IN Extracellular
GO:0031379	RNA-directed RNA polymerase complex	Unknown	0	IN Extracellular
GO:0031380	nuclear RNA-directed RNA polymerase complex	Unknown	0	IN Extracellular
GO:0031381	viral RNA-directed RNA polymerase complex	Unknown	0	IN Extracellular
GO:0031387	MPF complex	Unknown	0	IN Extracellular
GO:0031389	Rad17 RFC-like complex	Unknown	0	IN Extracellular
GO:0031390	Ctf18 RFC-like complex	Unknown	0	IN Extracellular
GO:0031391	Elg1 RFC-like complex	Unknown	0	IN Extracellular
GO:0031395	bursicon neuropeptide hormone complex	Unknown	0	IN Extracellular
GO:0031411	gas vesicle	Unknown	0	IN Extracellular
GO:0031414	N-terminal protein acetyltransferase complex	Unknown	0	IN Extracellular
GO:0031415	NatA complex	Unknown	0	IN Extracellular
GO:0031416	NatB complex	Unknown	0	IN Extracellular
GO:0031417	NatC complex	Unknown	0	IN Extracellular
GO:0031421	invertasome	Unknown	0	IN Extracellular
GO:0031422	RecQ helicase-Topo III complex	Unknown	0	IN Extracellular
GO:0031428	box C/D snoRNP complex	Unknown	0	IN Extracellular
GO:0031429	box H/ACA snoRNP complex	Unknown	0	IN Extracellular
GO:0031431	Dbf4-dependent protein kinase complex	Unknown	0	IN Extracellular
GO:0031461	cullin-RING ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0031462	Cul2-RING ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0031463	Cul3-RING ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0031464	Cul4A-RING ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0031465	Cul4B-RING ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0031466	Cul5-RING ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0031467	Cul7-RING ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0031469	polyhedral organelle	Unknown	0	IN Extracellular
GO:0031470	carboxysome	Unknown	0	IN Extracellular
GO:0031471	ethanolamine degradation polyhedral organelle	Unknown	0	IN Extracellular
GO:0031472	propanediol degradation polyhedral organelle	Unknown	0	IN Extracellular
GO:0031474	myosin IV complex	Unknown	0	IN Extracellular
GO:0031475	myosin V complex	Unknown	0	IN Extracellular
GO:0031476	myosin VI complex	Unknown	0	IN Extracellular
GO:0031477	myosin VII complex	Unknown	0	IN Extracellular
GO:0031478	myosin VIII complex	Unknown	0	IN Extracellular
GO:0031479	myosin IX complex	Unknown	0	IN Extracellular
GO:0031480	myosin X complex	Unknown	0	IN Extracellular
GO:0031481	myosin XI complex	Unknown	0	IN Extracellular
GO:0031482	myosin XII complex	Unknown	0	IN Extracellular
GO:0031483	myosin XIII complex	Unknown	0	IN Extracellular
GO:0031484	myosin XIV complex	Unknown	0	IN Extracellular
GO:0031485	myosin XV complex	Unknown	0	IN Extracellular
GO:0031486	myosin XVI complex	Unknown	0	IN Extracellular
GO:0031487	myosin XVII complex	Unknown	0	IN Extracellular
GO:0031488	myosin XVIII complex	Unknown	0	IN Extracellular
GO:0031499	TRAMP complex	Unknown	0	IN Extracellular
GO:0031500	Tea1 cell-end complex	Unknown	0	IN Extracellular
GO:0031502	dolichyl-phosphate-mannose-protein mannosyltransferase complex	Unknown	0	IN Extracellular
GO:0031510	SUMO activating enzyme complex	Unknown	0	IN Extracellular
GO:0031511	Mis6-Sim4 complex	Unknown	0	IN Extracellular
GO:0031512	motile primary cilium	Unknown	0	IN Extracellular
GO:0031513	nonmotile primary cilium	Unknown	0	IN Extracellular
GO:0031514	motile cilium	Unknown	0	IN Extracellular
GO:0031515	tRNA (m1A) methyltransferase complex	Unknown	0	IN Extracellular
GO:0031518	CBF3 complex	Unknown	0	IN Extracellular
GO:0031520	plasma membrane of cell tip	Unknown	0	IN Extracellular
GO:0031521	spitzenkorper	Unknown	0	IN Extracellular
GO:0031522	cell envelope Sec protein transport complex	Unknown	0	IN Extracellular
GO:0031523	Myb complex	Unknown	0	IN Extracellular
GO:0031533	mRNA cap methyltransferase complex	Unknown	0	IN Extracellular
GO:0031560	cellular bud neck polarisome	Unknown	0	IN Extracellular
GO:0031561	cellular bud tip polarisome	Unknown	0	IN Extracellular
GO:0031562	hyphal tip polarisome	Unknown	0	IN Extracellular
GO:0031563	mating projection tip polarisome	Unknown	0	IN Extracellular
GO:0031588	AMP-activated protein kinase complex	Unknown	0	IN Extracellular
GO:0031592	centrosomal corona	Unknown	0	IN Extracellular
GO:0031595	nuclear proteasome complex	Unknown	0	IN Extracellular
GO:0031596	ER proteasome complex	Unknown	0	IN Extracellular
GO:0031597	cytosolic proteasome complex	Unknown	0	IN Extracellular
GO:0031598	nuclear proteasome regulatory particle	Unknown	0	IN Extracellular
GO:0031599	ER proteasome regulatory particle	Unknown	0	IN Extracellular
GO:0031600	cytosolic proteasome regulatory particle	Unknown	0	IN Extracellular
GO:0031601	nuclear proteasome core complex	Unknown	0	IN Extracellular
GO:0031602	ER proteasome core complex	Unknown	0	IN Extracellular
GO:0031603	cytosolic proteasome core complex	Unknown	0	IN Extracellular
GO:0031604	"nuclear proteasome core complex, alpha-subunit complex"	Unknown	0	IN Extracellular
GO:0031605	"ER proteasome core complex, alpha-subunit complex"	Unknown	0	IN Extracellular
GO:0031606	"cytosolic proteasome core complex, alpha-subunit complex"	Unknown	0	IN Extracellular
GO:0031607	"nuclear proteasome core complex, beta-subunit complex"	Unknown	0	IN Extracellular
GO:0031608	"ER proteasome core complex, beta-subunit complex"	Unknown	0	IN Extracellular
GO:0031609	"cytosolic proteasome core complex, beta-subunit complex"	Unknown	0	IN Extracellular
GO:0031610	"nuclear proteasome regulatory particle, base subcomplex"	Unknown	0	IN Extracellular
GO:0031611	"ER proteasome regulatory particle, base subcomplex"	Unknown	0	IN Extracellular
GO:0031612	"cytosolic proteasome regulatory particle, base subcomplex"	Unknown	0	IN Extracellular
GO:0031613	"nuclear proteasome regulatory particle, lid subcomplex"	Unknown	0	IN Extracellular
GO:0031614	"ER proteasome regulatory particle, lid subcomplex"	Unknown	0	IN Extracellular
GO:0031615	"cytosolic proteasome regulatory particle, lid subcomplex"	Unknown	0	IN Extracellular
GO:0031617	NMS complex	Unknown	0	IN Extracellular
GO:0031618	nuclear centromeric heterochromatin	Unknown	0	IN Extracellular
GO:0031633	xanthophore	Unknown	0	IN Extracellular
GO:0031676	plasma membrane-derived thylakoid membrane	Unknown	0	IN Extracellular
GO:0031680	G-protein beta/gamma-subunit complex	Unknown	0	IN Extracellular
GO:0031838	haptoglobin-hemoglobin complex	Unknown	0	IN Extracellular
GO:0031897	Tic complex	Unknown	0	IN Extracellular
GO:0031898	chromoplast envelope	Unknown	0	IN Extracellular
GO:0031899	chromoplast inner membrane	Unknown	0	IN Extracellular
GO:0031900	chromoplast outer membrane	Unknown	0	IN Extracellular
GO:0031901	early endosome membrane	Unknown	0	IN Extracellular
GO:0031902	late endosome membrane	Unknown	0	IN Extracellular
GO:0031903	microbody membrane	Unknown	0	IN Extracellular
GO:0031904	endosome lumen	Unknown	0	IN Extracellular
GO:0031905	early endosome lumen	Unknown	0	IN Extracellular
GO:0031906	late endosome lumen	Unknown	0	IN Extracellular
GO:0031907	microbody lumen	Unknown	0	IN Extracellular
GO:0031908	glyoxysomal lumen	Unknown	0	IN Extracellular
GO:0031910	cytostome	Unknown	0	IN Extracellular
GO:0031911	cytoproct	Unknown	0	IN Extracellular
GO:0031912	oral apparatus	Unknown	0	IN Extracellular
GO:0031913	contractile vacuole pore	Unknown	0	IN Extracellular
GO:0031931	TORC1 complex	Unknown	0	IN Extracellular
GO:0031932	TORC2 complex	Unknown	0	IN Extracellular
GO:0031933	telomeric heterochromatin	Unknown	0	IN Extracellular
GO:0031934	mating-type region heterochromatin	Unknown	0	IN Extracellular
GO:0031942	i-AAA complex	Unknown	0	IN Extracellular
GO:0031967	organelle envelope	Unknown	0	IN Extracellular
GO:0031968	organelle outer membrane	Unknown	0	IN Extracellular
GO:0031969	chloroplast membrane	Unknown	0	IN Extracellular
GO:0031970	organelle envelope lumen	Unknown	0	IN Extracellular
GO:0031972	chloroplast intermembrane space	Unknown	0	IN Extracellular
GO:0031973	chromoplast intermembrane space	Unknown	0	IN Extracellular
GO:0031974	membrane-enclosed lumen	Unknown	0	IN Extracellular
GO:0031975	envelope	Unknown	0	IN Extracellular
GO:0031976	plastid thylakoid	Unknown	0	IN Extracellular
GO:0031977	thylakoid lumen	Unknown	0	IN Extracellular
GO:0031978	plastid thylakoid lumen	Unknown	0	IN Extracellular
GO:0031979	plasma membrane-derived thylakoid lumen	Unknown	0	IN Extracellular
GO:0031983	vesicle lumen	Unknown	0	IN Extracellular
GO:0031984	organelle subcompartment	Unknown	0	IN Extracellular
GO:0031986	proteinoplast	Unknown	0	IN Extracellular
GO:0031988	membrane-bounded vesicle	Unknown	0	IN Extracellular
GO:0032009	early phagosome	Unknown	0	IN Extracellular
GO:0032010	phagolysosome	Unknown	0	IN Extracellular
GO:0032019	mitochondrial cloud	Unknown	0	IN Extracellular
GO:0032021	NELF complex	Unknown	0	IN Extracellular
GO:0032040	small-subunit processome	Unknown	0	IN Extracellular
GO:0032044	DSIF complex	Unknown	0	IN Extracellular
GO:0032045	guanyl-nucleotide exchange factor complex	Unknown	0	IN Extracellular
GO:0032046	micropexophagy-specific membrane apparatus	Unknown	0	IN Extracellular
GO:0032047	mitosome	Unknown	0	IN Extracellular
GO:0032059	bleb	Unknown	0	IN Extracellular
GO:0032068	Type IV site-specific deoxyribonuclease complex	Unknown	0	IN Extracellular
GO:0032116	SMC loading complex	Unknown	0	IN Extracellular
GO:0032117	horsetail-astral microtubule array	Unknown	0	IN Extracellular
GO:0032123	deep fiber	Unknown	0	IN Extracellular
GO:0032126	eisosome	Unknown	0	IN Extracellular
GO:0032133	chromosome passenger complex	Unknown	0	IN Extracellular
GO:0032151	mitotic septin complex	Unknown	0	IN Extracellular
GO:0032152	meiotic septin complex	Unknown	0	IN Extracellular
GO:0032153	cell division site	Unknown	0	IN Extracellular
GO:0032155	cell division site part	Unknown	0	IN Extracellular
GO:0032156	septin cytoskeleton	Unknown	0	IN Extracellular
GO:0032157	prospore contractile ring	Unknown	0	IN Extracellular
GO:0032158	septin band	Unknown	0	IN Extracellular
GO:0032159	septin cap	Unknown	0	IN Extracellular
GO:0032160	septin filament array	Unknown	0	IN Extracellular
GO:0032161	cleavage apparatus septin structure	Unknown	0	IN Extracellular
GO:0032162	mating projection septin band	Unknown	0	IN Extracellular
GO:0032163	hyphal septin band	Unknown	0	IN Extracellular
GO:0032164	hyphal septin cap	Unknown	0	IN Extracellular
GO:0032165	prospore septin filament array	Unknown	0	IN Extracellular
GO:0032166	chlamydospore septin filament array	Unknown	0	IN Extracellular
GO:0032168	hyphal septin ring	Unknown	0	IN Extracellular
GO:0032169	prospore septin ring	Unknown	0	IN Extracellular
GO:0032170	pseudohyphal septin ring	Unknown	0	IN Extracellular
GO:0032171	germ tube septin cap	Unknown	0	IN Extracellular
GO:0032172	germ tube septin ring	Unknown	0	IN Extracellular
GO:0032173	septin collar	Unknown	0	IN Extracellular
GO:0032174	cellular bud neck septin collar	Unknown	0	IN Extracellular
GO:0032175	mating projection septin ring	Unknown	0	IN Extracellular
GO:0032176	split septin rings	Unknown	0	IN Extracellular
GO:0032177	cellular bud neck split septin rings	Unknown	0	IN Extracellular
GO:0032178	medial membrane band	Unknown	0	IN Extracellular
GO:0032179	germ tube	Unknown	0	IN Extracellular
GO:0032195	post-lysosomal vacuole	Unknown	0	IN Extracellular
GO:0032221	Rpd3S complex	Unknown	0	IN Extracellular
GO:0032279	asymmetric synapse	Unknown	0	IN Extracellular
GO:0032280	symmetric synapse	Unknown	0	IN Extracellular
GO:0032281	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid selective glutamate receptor complex	Unknown	0	IN Extracellular
GO:0032282	plastid acetyl-CoA carboxylase complex	Unknown	0	IN Extracellular
GO:0032283	plastid acetate CoA-transferase complex	Unknown	0	IN Extracellular
GO:0032284	plastid biotin carboxylase complex	Unknown	0	IN Extracellular
GO:0032299	ribonuclease H2 complex	Unknown	0	IN Extracellular
GO:0032300	mismatch repair complex	Unknown	0	IN Extracellular
GO:0032390	MutLbeta complex	Unknown	0	IN Extracellular
GO:0032398	MHC class Ib protein complex	Unknown	0	IN Extracellular
GO:0032419	extrinsic component of lysosome membrane	Unknown	0	IN Extracellular
GO:0032420	stereocilium	Unknown	0	IN Extracellular
GO:0032421	stereocilium bundle	Unknown	0	IN Extracellular
GO:0032426	stereocilium bundle tip	Unknown	0	IN Extracellular
GO:0032432	actin filament bundle	Unknown	0	IN Extracellular
GO:0032433	filopodium tip	Unknown	0	IN Extracellular
GO:0032437	cuticular plate	Unknown	0	IN Extracellular
GO:0032473	cytoplasmic side of mitochondrial outer membrane	Unknown	0	IN Extracellular
GO:0032476	decaprenyl diphosphate synthase complex	Unknown	0	IN Extracellular
GO:0032477	homodimeric decaprenyl diphosphate synthase complex	Unknown	0	IN Extracellular
GO:0032478	heterotetrameric decaprenyl diphosphate synthase complex	Unknown	0	IN Extracellular
GO:0032517	SOD1-calcineurin complex	Unknown	0	IN Extracellular
GO:0032541	cortical endoplasmic reticulum	Unknown	0	IN Extracellular
GO:0032545	CURI complex	Unknown	0	IN Extracellular
GO:0032578	aleurone grain membrane	Unknown	0	IN Extracellular
GO:0032579	apical lamina of hyaline layer	Unknown	0	IN Extracellular
GO:0032584	growth cone membrane	Unknown	0	IN Extracellular
GO:0032585	multivesicular body membrane	Unknown	0	IN Extracellular
GO:0032586	protein storage vacuole membrane	Unknown	0	IN Extracellular
GO:0032587	ruffle membrane	Unknown	0	IN Extracellular
GO:0032588	trans-Golgi network membrane	Unknown	0	IN Extracellular
GO:0032589	neuron projection membrane	Unknown	0	IN Extracellular
GO:0032590	dendrite membrane	Unknown	0	IN Extracellular
GO:0032591	dendritic spine membrane	Unknown	0	IN Extracellular
GO:0032592	integral component of mitochondrial membrane	Unknown	0	IN Extracellular
GO:0032593	insulin-responsive compartment	Unknown	0	IN Extracellular
GO:0032766	NHE3/E3KARP/ACTN4 complex	Unknown	0	IN Extracellular
GO:0032777	Piccolo NuA4 histone acetyltransferase complex	Unknown	0	IN Extracellular
GO:0032783	ELL-EAF complex	Unknown	0	IN Extracellular
GO:0032798	Swi5-Sfr1 complex	Unknown	0	IN Extracellular
GO:0032806	carboxy-terminal domain protein kinase complex	Unknown	0	IN Extracellular
GO:0032807	DNA ligase IV complex	Unknown	0	IN Extracellular
GO:0032809	neuronal cell body membrane	Unknown	0	IN Extracellular
GO:0032838	cell projection cytoplasm	Unknown	0	IN Extracellular
GO:0032839	dendrite cytoplasm	Unknown	0	IN Extracellular
GO:0032865	ERMES complex	Unknown	0	IN Extracellular
GO:0032921	sarcosine oxidase complex	Unknown	0	IN Extracellular
GO:0032936	SREBP-SCAP complex	Unknown	0	IN Extracellular
GO:0032937	SREBP-SCAP-Insig complex	Unknown	0	IN Extracellular
GO:0032969	endosomal scaffold complex	Unknown	0	IN Extracellular
GO:0032983	kainate selective glutamate receptor complex	Unknown	0	IN Extracellular
GO:0032991	macromolecular complex	Unknown	0	IN Extracellular
GO:0032992	protein-carbohydrate complex	Unknown	0	IN Extracellular
GO:0032993	protein-DNA complex	Unknown	0	IN Extracellular
GO:0032994	protein-lipid complex	Unknown	0	IN Extracellular
GO:0032996	Bcl3-Bcl10 complex	Unknown	0	IN Extracellular
GO:0032997	Fc receptor complex	Unknown	0	IN Extracellular
GO:0032998	Fc-epsilon receptor I complex	Unknown	0	IN Extracellular
GO:0032999	Fc-alpha receptor I complex	Unknown	0	IN Extracellular
GO:0033000	Fc-gamma receptor I complex	Unknown	0	IN Extracellular
GO:0033001	Fc-gamma receptor III complex	Unknown	0	IN Extracellular
GO:0033009	nucleomorph	Unknown	0	IN Extracellular
GO:0033010	paranodal junction	Unknown	0	IN Extracellular
GO:0033011	perinuclear theca	Unknown	0	IN Extracellular
GO:0033012	porosome	Unknown	0	IN Extracellular
GO:0033016	rhoptry membrane	Unknown	0	IN Extracellular
GO:0033018	sarcoplasmic reticulum lumen	Unknown	0	IN Extracellular
GO:0033061	DNA recombinase mediator complex	Unknown	0	IN Extracellular
GO:0033062	Rhp55-Rhp57 complex	Unknown	0	IN Extracellular
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex	Unknown	0	IN Extracellular
GO:0033064	XRCC2-RAD51D complex	Unknown	0	IN Extracellular
GO:0033065	Rad51C-XRCC3 complex	Unknown	0	IN Extracellular
GO:0033066	Rad51B-Rad51C complex	Unknown	0	IN Extracellular
GO:0033093	Weibel-Palade body	Unknown	0	IN Extracellular
GO:0033095	aleurone grain	Unknown	0	IN Extracellular
GO:0033096	amyloplast envelope	Unknown	0	IN Extracellular
GO:0033097	amyloplast membrane	Unknown	0	IN Extracellular
GO:0033098	amyloplast inner membrane	Unknown	0	IN Extracellular
GO:0033099	attachment organelle	Unknown	0	IN Extracellular
GO:0033100	NuA3 histone acetyltransferase complex	Unknown	0	IN Extracellular
GO:0033101	cellular bud membrane	Unknown	0	IN Extracellular
GO:0033102	acidocalcisome membrane	Unknown	0	IN Extracellular
GO:0033104	type VI protein secretion system complex	Unknown	0	IN Extracellular
GO:0033105	chlorosome envelope	Unknown	0	IN Extracellular
GO:0033106	cis-Golgi network membrane	Unknown	0	IN Extracellular
GO:0033107	CVT vesicle	Unknown	0	IN Extracellular
GO:0033110	Cvt vesicle membrane	Unknown	0	IN Extracellular
GO:0033111	attachment organelle membrane	Unknown	0	IN Extracellular
GO:0033112	cyanelle envelope	Unknown	0	IN Extracellular
GO:0033113	cyanelle membrane	Unknown	0	IN Extracellular
GO:0033114	cyanelle thylakoid lumen	Unknown	0	IN Extracellular
GO:0033115	cyanelle thylakoid membrane	Unknown	0	IN Extracellular
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	Unknown	0	IN Extracellular
GO:0033117	esterosome	Unknown	0	IN Extracellular
GO:0033118	esterosome membrane	Unknown	0	IN Extracellular
GO:0033150	cytoskeletal calyx	Unknown	0	IN Extracellular
GO:0033162	melanosome membrane	Unknown	0	IN Extracellular
GO:0033163	microneme membrane	Unknown	0	IN Extracellular
GO:0033165	interphotoreceptor matrix	Unknown	0	IN Extracellular
GO:0033166	hyaline layer	Unknown	0	IN Extracellular
GO:0033167	ARC complex	Unknown	0	IN Extracellular
GO:0033172	gas vesicle shell	Unknown	0	IN Extracellular
GO:0033174	"chloroplast proton-transporting ATP synthase complex, catalytic core CF(1)"	Unknown	0	IN Extracellular
GO:0033175	"chloroplast proton-transporting ATP synthase complex, coupling factor CF(o)"	Unknown	0	IN Extracellular
GO:0033176	proton-transporting V-type ATPase complex	Unknown	0	IN Extracellular
GO:0033177	"proton-transporting two-sector ATPase complex, proton-transporting domain"	Unknown	0	IN Extracellular
GO:0033178	"proton-transporting two-sector ATPase complex, catalytic domain"	Unknown	0	IN Extracellular
GO:0033179	"proton-transporting V-type ATPase, V0 domain"	Unknown	0	IN Extracellular
GO:0033180	"proton-transporting V-type ATPase, V1 domain"	Unknown	0	IN Extracellular
GO:0033181	plasma membrane proton-transporting V-type ATPase complex	Unknown	0	IN Extracellular
GO:0033185	dolichol-phosphate-mannose synthase complex	Unknown	0	IN Extracellular
GO:0033186	CAF-1 complex	Unknown	0	IN Extracellular
GO:0033193	Lsd1/2 complex	Unknown	0	IN Extracellular
GO:0033202	DNA helicase complex	Unknown	0	IN Extracellular
GO:0033203	DNA helicase A complex	Unknown	0	IN Extracellular
GO:0033254	vacuolar transporter chaperone complex	Unknown	0	IN Extracellular
GO:0033255	SAS acetyltransferase complex	Unknown	0	IN Extracellular
GO:0033256	I-kappaB/NF-kappaB complex	Unknown	0	IN Extracellular
GO:0033257	Bcl3/NF-kappaB2 complex	Unknown	0	IN Extracellular
GO:0033263	CORVET complex	Unknown	0	IN Extracellular
GO:0033267	axon part	Unknown	0	IN Extracellular
GO:0033268	node of Ranvier	Unknown	0	IN Extracellular
GO:0033269	internode region of axon	Unknown	0	IN Extracellular
GO:0033270	paranode region of axon	Unknown	0	IN Extracellular
GO:0033276	transcription factor TFTC complex	Unknown	0	IN Extracellular
GO:0033281	TAT protein transport complex	Unknown	0	IN Extracellular
GO:0033282	protein C inhibitor-acrosin complex	Unknown	0	IN Extracellular
GO:0033289	intraconoid microtubule	Unknown	0	IN Extracellular
GO:0033290	eukaryotic 48S preinitiation complex	Unknown	0	IN Extracellular
GO:0033291	eukaryotic 80S initiation complex	Unknown	0	IN Extracellular
GO:0033309	SBF transcription complex	Unknown	0	IN Extracellular
GO:0033391	chromatoid body	Unknown	0	IN Extracellular
GO:0033503	HULC complex	Unknown	0	IN Extracellular
GO:0033551	monopolin complex	Unknown	0	IN Extracellular
GO:0033553	rDNA heterochromatin	Unknown	0	IN Extracellular
GO:0033557	Slx1-Slx4 complex	Unknown	0	IN Extracellular
GO:0033565	ESCRT-0 complex	Unknown	0	IN Extracellular
GO:0033573	high affinity iron permease complex	Unknown	0	IN Extracellular
GO:0033583	rhabdomere membrane	Unknown	0	IN Extracellular
GO:0033588	Elongator holoenzyme complex	Unknown	0	IN Extracellular
GO:0033593	BRCA2-MAGE-D1 complex	Unknown	0	IN Extracellular
GO:0033596	TSC1-TSC2 complex	Unknown	0	IN Extracellular
GO:0033597	mitotic checkpoint complex	Unknown	0	IN Extracellular
GO:0033607	SOD1-Bcl-2 complex	Unknown	0	IN Extracellular
GO:0033620	Mei2 nuclear dot complex	Unknown	0	IN Extracellular
GO:0033643	host cell part	Unknown	0	IN Extracellular
GO:0033644	host cell membrane	Unknown	0	IN Extracellular
GO:0033645	host cell endomembrane system	Unknown	0	IN Extracellular
GO:0033646	host intracellular part	Unknown	0	IN Extracellular
GO:0033647	host intracellular organelle	Unknown	0	IN Extracellular
GO:0033648	host intracellular membrane-bounded organelle	Unknown	0	IN Extracellular
GO:0033650	host cell mitochondrion	Unknown	0	IN Extracellular
GO:0033651	host cell plastid	Unknown	0	IN Extracellular
GO:0033652	host cell chloroplast	Unknown	0	IN Extracellular
GO:0033653	host cell chloroplast part	Unknown	0	IN Extracellular
GO:0033654	host cell chloroplast thylakoid membrane	Unknown	0	IN Extracellular
GO:0033655	host cell cytoplasm part	Unknown	0	IN Extracellular
GO:0033675	pericanalicular vesicle	Unknown	0	IN Extracellular
GO:0033698	Rpd3L complex	Unknown	0	IN Extracellular
GO:0033768	SUMO-targeted ubiquitin ligase complex	Unknown	0	IN Extracellular
GO:0033774	basal labyrinth	Unknown	0	IN Extracellular
GO:0033985	acidocalcisome lumen	Unknown	0	IN Extracellular
GO:0034044	exomer complex	Unknown	0	IN Extracellular
GO:0034045	pre-autophagosomal structure membrane	Unknown	0	IN Extracellular
GO:0034060	cyanelle stroma	Unknown	0	IN Extracellular
GO:0034064	Tor2-Mei2-Ste11 complex	Unknown	0	IN Extracellular
GO:0034066	Ric1p-Rgp1p complex	Unknown	0	IN Extracellular
GO:0034081	polyketide synthase complex	Unknown	0	IN Extracellular
GO:0034082	type II polyketide synthase complex	Unknown	0	IN Extracellular
GO:0034083	type III polyketide synthase complex	Unknown	0	IN Extracellular
GO:0034098	Cdc48p-Npl4p-Ufd1p AAA ATPase complex	Unknown	0	IN Extracellular
GO:0034099	luminal surveillance complex	Unknown	0	IN Extracellular
GO:0034206	enhanceosome	Unknown	0	IN Extracellular
GO:0034245	mitochondrial DNA-directed RNA polymerase complex	Unknown	0	IN Extracellular
GO:0034270	CVT complex	Unknown	0	IN Extracellular
GO:0034271	phosphatidylinositol 3-kinase complex I	Unknown	0	IN Extracellular
GO:0034272	phosphatidylinositol 3-kinase complex II	Unknown	0	IN Extracellular
GO:0034273	Atg1p signaling complex	Unknown	0	IN Extracellular
GO:0034274	Atg12-Atg5-Atg16 complex	Unknown	0	IN Extracellular
GO:0034357	photosynthetic membrane	Unknown	0	IN Extracellular
GO:0034358	plasma lipoprotein particle	Unknown	0	IN Extracellular
GO:0034359	mature chylomicron	Unknown	0	IN Extracellular
GO:0034360	chylomicron remnant	Unknown	0	IN Extracellular
GO:0034361	very-low-density lipoprotein particle	Unknown	0	IN Extracellular
GO:0034362	low-density lipoprotein particle	Unknown	0	IN Extracellular
GO:0034363	intermediate-density lipoprotein particle	Unknown	0	IN Extracellular
GO:0034364	high-density lipoprotein particle	Unknown	0	IN Extracellular
GO:0034365	discoidal high-density lipoprotein particle	Unknown	0	IN Extracellular
GO:0034366	spherical high-density lipoprotein particle	Unknown	0	IN Extracellular
GO:0034385	triglyceride-rich lipoprotein particle	Unknown	0	IN Extracellular
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	Unknown	0	IN Extracellular
GO:0034399	nuclear periphery	Unknown	0	IN Extracellular
GO:0034400	gerontoplast	Unknown	0	IN Extracellular
GO:0034422	aleurone grain lumen	Unknown	0	IN Extracellular
GO:0034423	autophagic vacuole lumen	Unknown	0	IN Extracellular
GO:0034424	Vps55/Vps68 complex	Unknown	0	IN Extracellular
GO:0034425	etioplast envelope	Unknown	0	IN Extracellular
GO:0034426	etioplast membrane	Unknown	0	IN Extracellular
GO:0034430	monolayer-surrounded lipid storage body outer lipid monolayer	Unknown	0	IN Extracellular
GO:0034448	EGO complex	Unknown	0	IN Extracellular
GO:0034451	centriolar satellite	Unknown	0	IN Extracellular
GO:0034455	t-UTP complex	Unknown	0	IN Extracellular
GO:0034456	UTP-C complex	Unknown	0	IN Extracellular
GO:0034457	Mpp10 complex	Unknown	0	IN Extracellular
GO:0034464	BBSome	Unknown	0	IN Extracellular
GO:0034466	chromaffin granule lumen	Unknown	0	IN Extracellular
GO:0034467	esterosome lumen	Unknown	0	IN Extracellular
GO:0034468	glycosome lumen	Unknown	0	IN Extracellular
